15705567	2021-06-22T23:20:10.000Z	1407478548349259780	I will say this coz it needs to be said: non-refundable fares in airlines/hotels/car-rentals should be made illegal. It is by far the worst travel industry consumer practice there is. Give future credit, if not refundable, create goodwill and equity, now & for future.	{'place_id': '00c39537733fa112'}
42817533	2021-06-22T22:57:45.000Z	1407472907647864835	Every time I visit NY I get caught in the rain and buy an umbrella. Every time I visit NY I forget to bring an umbrella from the last trip. ♾	{'place_id': '011add077f4d2da3'}
29266788	2021-06-22T22:56:45.000Z	1407472658128769025	Leaving Sunday to visit home. Been summoned by my grandmother.	{'place_id': 'fa3435044b52ecc7'}
43149665	2021-06-22T22:50:20.000Z	1407471041002229760	Come visit the cinema cube on our 0th floor featuring a compilation of iconic scenes from eighteen bold films of the last six decades. 	{'place_id': '01a9a39529b27f36'}
1361469280097812481	2021-06-22T22:40:07.000Z	1407468470762184706	Hi Come Visit My Site! 	{'place_id': '011add077f4d2da3'}
330426579	2021-06-22T22:38:52.000Z	1407468157195927556	This random old lady is sitting down the row from me shouting into her phone (convo all on speaker) trying to spell something out in a mystery language 😂 Another lady trying to use another flight’s seat asignmntI miss travel but not necessarily the chaos associated with it!	{'place_id': '00c39537733fa112'}
897800636099690497	2021-06-22T22:37:00.000Z	1407467684917395460	Visit Red Gotham -  scrumptious,  mutton shanks terrine. Great with Ghent sunchoke and a flute of  foam	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.90928758, 40.69370463]}}
58913244	2021-06-22T22:36:29.000Z	1407467557200793606	 Man, I don't even have anywhere to go. No travel planned for months	{'place_id': '011add077f4d2da3'}
1145080857159512065	2021-06-22T22:29:21.000Z	1407465759723429888	Just stopped by a polling site in Kew Gardens to visit  and it’s a constant stream of Yang voters!	{'place_id': '00c39537733fa112'}
895323458413965312	2021-06-22T22:07:21.000Z	1407460222789115904	Make sure to visit  booth at CADAF online! Her art is stunning! 	{'place_id': '01a9a39529b27f36'}
24853652	2021-06-22T21:46:39.000Z	1407455014310887424	Working with my bro  Certified He got the Streetz tap in with him. Nd visit his merch page  @ Diamond Gym 	{'place_id': 'c8cc2f5f5fe306fa', 'coordinates': {'type': 'Point', 'coordinates': [-74.24465718, 40.73180097]}}
1166028523800289280	2021-06-22T21:18:09.000Z	1407447843024089096	Keeping our spirits up in the rain with a visit from  💫 Only about 0 hours left to get out and vote 🗳 Make sure to make your voice heard, check out  for more information! 	{'place_id': '00c39537733fa112'}
46425848	2021-06-22T21:15:18.000Z	1407447127375200260	Great seeing the Scottish skies on TV tonight. This travel ban needs to kindly piss off. Dying for a trip home. 🏴󠁧󠁢󠁳󠁣󠁴󠁿	{'place_id': 'cbafaaf6455dea32'}
126380866	2021-06-22T21:13:27.000Z	1407446659982843910	Stats Perform: Nationals Look for Offensive Lift In Visit by Phillies  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
4376361	2021-06-22T21:03:10.000Z	1407444073489780744	The public still needs access to visit Hart Island, our only potter’s field. Hope the pandemic didn’t change that. Watch this mini doc   via 	{'place_id': '01a9a39529b27f36'}
126380866	2021-06-22T21:00:44.000Z	1407443458537803780	Rockies Looking for Help From the Past In 0-Game Visit to Seattle  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
29041660	2021-06-22T20:47:57.000Z	1407440243146493962	Visit us on Instagram at  	{'place_id': '01a9a39529b27f36'}
20734503	2021-06-22T20:47:14.000Z	1407440060581134349	VOTED! ✔️ ✔️ ✔️TODAY IS ELECTION DAY & polls are open until 0pm. Visit  to find your polling site and learn more about the candidates in your district. VOTE! ✔️ VOTE! ✔️ VOTE! ✔️  	{'place_id': '002e24c6736f069d'}
1291608458156965888	2021-06-22T20:42:08.000Z	1407438777958739977	This is like the gay Playboy Mansion. I wanna visit. 🤣🤧 	{'place_id': '01a9a39529b27f36'}
1399791199460990978	2021-06-22T20:22:39.000Z	1407433876864184320	I haven’t been to Brazil in 0 years. By the time I’m finally able to return… it will be pointless. Who am I gone visit? Hell am I even going to be alive lmaoooooooo	{'place_id': '00c39537733fa112'}
66763015	2021-06-22T20:20:39.000Z	1407433374168502276	 I love that I paid $0 to travel 0 minutes and I’m the one who asked to take extra time to fill something out. You have people who are literally working on the train who can do that. There were three employees in my car.	{'place_id': '18b390731066adcb'}
2225533280	2021-06-22T20:13:53.000Z	1407431668097589251	  You didn't go to NYC stop it..bots don't travel	{'place_id': '27485069891a7938'}
1573492410	2021-06-22T20:11:43.000Z	1407431123559407631	another reminder that city elections are crucial crucial crucial - change happens at a local level. find and visit your polling station before 0pm todayuseful mayoral quiz if you need to figure out who to vote for based on your values!	{'place_id': '01a9a39529b27f36'}
572264357	2021-06-22T20:08:35.000Z	1407430337467228161	 Wow. You know, it reminds me of the time I paid a surprise visit to my sweetie in Aix en Provence. “I just spent 0 weeks with ” I said, standing in the doorway, grinning. Without changing expressions she said, “if you said Samuel Beckett I’d be impressed.”	{'place_id': '01a9a39529b27f36'}
791013044453203969	2021-06-22T20:07:13.000Z	1407429990787031043	Ana Kcira, Founder of Travel Brand,  Kick-Starts Launch of 0 Intimate International Travel Events in the U.S.  with Picnic  	{'place_id': '01a9a39529b27f36'}
721788669749698560	2021-06-22T19:58:16.000Z	1407427737531437065	I try to learn at least one unique or meaningful thing about a patient at each visit. It’s as therapeutic to me as it is to patients to spend a few mins talking about their dogs, hobbies, travels, previous occupations, etc. it’s a constant reminder that patients are PEOPLE first. 	{'place_id': '642ee7b241c48c18'}
383859586	2021-06-22T19:53:17.000Z	1407426484810231811	Hanging out in JFK for a while and they have these cool things for the kids to play on/with. Let me tell you, the kids are screaming and having a blast!     	{'place_id': '07d9f31fe6887004'}
1340006655606534145	2021-06-22T18:42:52.000Z	1407408764504973318	Thursday, 0/0 from 0-0 p.m. we are having a Pfizer walk-in clinic for those 0 and older.Visit   for details.	{'place_id': 'c5e2e95296cb121d'}
1038911684939800577	2021-06-22T18:26:19.000Z	1407404598739050496	Celebrating the final visit today with much love and fanfare at Mott Hall V and Principal Oroszlany 0 of 0! ❤️  	{'place_id': '002e24c6736f069d'}
1250886840862810112	2021-06-22T18:24:32.000Z	1407404152003702785	                                                  This is a wonderful journey around the world. I love it!	{'place_id': '011add077f4d2da3'}
1013453669361176577	2021-06-22T18:18:22.000Z	1407402598701879301	Another great unofficial visit, today at Wagner college. Excited to show my skills at camp tomorrow!  	{'place_id': '00c55f041e27dc51'}
26063364	2021-06-22T17:57:44.000Z	1407397405398605831	About last Friday...Part 0. No visit to the hotel would be complete without happy hour drinks on a hangar. It's the best way to drink and not fly! Did you catch that roller rink? @ TWA Hotel 	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.77764892, 40.64577899]}}
1250886840862810112	2021-06-22T17:38:14.000Z	1407392497509277701	                                                  I loved that sentence: “The older I got, the more spontaneous I became” - This is such a cool lifestyle!I enjoyed reading it, especially as someone who experienced relocation 0.0 years ago 👏🏼👏🏼	{'place_id': '011add077f4d2da3'}
38253982	2021-06-22T17:32:03.000Z	1407390944710778883	 A very big cannon, we want him to travel far.	{'place_id': '18723789f00c54fe'}
1074019470182637569	2021-06-22T17:13:41.000Z	1407386321233006596	Not even your mother could truly love a nigga with no money. Imagine taking your og to visit the world. She’ll never have problems with you.	{'place_id': '9e0678e8055b32b1'}
765994482	2021-06-22T16:47:22.000Z	1407379699190403084	It was great to go vote with my mom and my kids. Polls are open until 0pm! To find your polling place, visit  	{'place_id': '07d9d37ea7c88003'}
289913309	2021-06-22T16:43:52.000Z	1407378817489027076	 Lol travel and go out to eat exactly what I do with my current(and limited) disposable income 😂. Retire early and enjoy everything the world has to offer. Thankfully I’m not materialistic so I’m confidant 0.0 would last me my life easy	{'place_id': '5d09360434c9b510'}
2230209522	2021-06-22T16:35:36.000Z	1407376737437110274	GA res. on the postponement of the 0th session of the BBNJ IGC to 0 has been adopted by consensus. It is still difficult to hold inperson intergovernmental conferences due to still existing travel restrictions because of COVID0 pandemic. Let's back to normal life finally! 	{'place_id': '01a9a39529b27f36'}
1186752470690729985	2021-06-22T16:32:15.000Z	1407375892352057345	Please keep tagging your locations on your travel photos on Instagram Cus I be saving those on google maps for future reference in places I wanna travel to.	{'place_id': '002e24c6736f069d'}
15984206	2021-06-22T16:32:03.000Z	1407375843911942150	First visit to our food baby today! Isn’t she lovely?! 	{'place_id': '1314de423a96f001'}
19942585	2021-06-22T16:22:55.000Z	1407373544145686528	Australia, which attracts millions of snorkeling tourists and beachgoers each year, vowed Tuesday to fight any change of status that could hurt its travel industry or see the U.N. step in to take tougher measures to reduce the country's greenhouse gas emissions.	{'place_id': '01a9a39529b27f36'}
1218048359337988096	2021-06-22T15:36:31.000Z	1407361867593437192	A photon checks into a hotel and is asked if he needs any help with his luggage. “No, I’m travelling light.”	{'place_id': '4b6a1f748c5219fa'}
218691138	2021-06-22T15:19:36.000Z	1407357611721232384	s/o to  ilysm & wouldn’t have made it thru these continuous travel delays over the last 0 hrs w/o youuuu🥺🥺	{'place_id': '00c39537733fa112'}
1196606035009687552	2021-06-22T15:13:56.000Z	1407356186173837319	The Ausable River runs through Ausable Chasm northeast right to Lake Champlain. It ranges from 0' to 0' feet wide and up to 0' deep, and was the nation's first tourist attraction! 🌎        	{'place_id': 'a64b09ad02cb5c61'}
171259240	2021-06-22T15:01:30.000Z	1407353056702910470	A very Happy Birthday to the best Travel Agent to ever live  . I hope this baby is born with a passport! 😍✈️ @ Jamrock 	{'place_id': '00c55f041e27dc51', 'coordinates': {'type': 'Point', 'coordinates': [-74.07951256, 40.6286205]}}
1344702901927747585	2021-06-22T14:58:05.000Z	1407352197541773320	When you visit the ghetto & its still ghetto lol 	{'place_id': '0fc29eaf4b946003'}
304671643	2021-06-22T14:54:35.000Z	1407351315274113048	Wandering in the fairy glades of Newark.🌸                     	{'place_id': '07d9f6e986486000'}
517076217	2021-06-22T14:50:41.000Z	1407350334427705363	 Excuse me Miss Romney! Could you please tell the class why it’s important for  to visit the border? Should she dress in camouflage like  did?	{'place_id': '011add077f4d2da3'}
304671643	2021-06-22T14:49:26.000Z	1407350017095090177	Live! Werk! Pose!🏳️‍🌈                         	{'place_id': '01a9a39529b27f36'}
89371050	2021-06-22T14:49:08.000Z	1407349944017633281	Hold on cause my dad wants me to really travel to DR every month … paid .. sir.. lmao I get home separation anxiety 😖😔 and how am I supposed to start a reg job again? Lmao guess I’m retired with my dad ✌🏼✌🏼✌🏼	{'place_id': '01a9a39529b27f36'}
2791925926	2021-06-22T14:33:32.000Z	1407346015620022280	     sorely mistaken, again. It was through his actions that travel ceased from China, Middle East countries, it was through President Trump that the vaccine was moved faster, where “science” projected 0 years, the immigration which is an influx now, better control	{'place_id': '54719aecdeecbbe8'}
387850227	2021-06-22T14:24:16.000Z	1407343686942441490	 No material update there to follow on from the task force that was created a week and a half ago. Hopeful but nothing concrete. Meanwhile very little restrictions on travel from South America, the inconsistency baffles.	{'place_id': '01a9a39529b27f36'}
29041660	2021-06-22T14:08:43.000Z	1407339771073110017	My business partner went from incarceration to entrepreneurship. Help him help himself. Please RETWEET + visit + buy + follow at:  	{'place_id': '01a9a39529b27f36'}
199560979	2021-06-22T13:32:31.000Z	1407330663972343813	 I'll just have to visit you and unbutton everything	{'place_id': 'bcab414422facfa5'}
