19035286	2021-12-17T12:29:03.000Z	1471819729065156608	  Plastic speculums?! What will they think of next?! I’m actually looking forward to my next visit later this month! 🤞🏼no metal 🥶	{'place_id': '1c69a67ad480e1b1'}
1380216292255367168	2021-12-17T11:18:28.000Z	1471801966913277956	Wanna Make A Bet???Travel Time,Bet That!!! 	{'place_id': '1c69a67ad480e1b1'}
25774856	2021-12-17T08:05:53.000Z	1471753502275915782	  One day I’d love to visit but see those giant 🕷 and honestly freaks me out! I’m in Houston, Texas…so another 0 degree Celsius day coming up 😳😳😳 !	{'place_id': '1c69a67ad480e1b1'}
872224997116346369	2021-12-17T07:39:52.000Z	1471746953239273478	Idk if I wana drive to Indiana or fly to go get them.	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-12-17T05:37:33.000Z	1471716174551564290	This is our sign travel travel travel 	{'place_id': '1c69a67ad480e1b1'}
58962576	2021-12-17T03:56:13.000Z	1471690671664898052	I miss my grandma so much and I didn’t visit her enough while she was still here 💔	{'place_id': '1c69a67ad480e1b1'}
64220855	2021-12-17T02:58:19.000Z	1471676100497620997	New merch  with Man On A Mission Clothing visit website          	{'place_id': '1c69a67ad480e1b1'}
2947394988	2021-12-17T01:30:26.000Z	1471653986130399238	 That sounds abt right... maybe he needs a visit from the ghost of the future & Christmas pass   not 0 mention his state has a high rate of ppl with bad teeth & grocery shopping at  while his refrigerator is full & his bed is warm	{'place_id': '0120bae54df50356'}
1462826831795605507	2021-12-17T01:15:47.000Z	1471650295457492992	Most single vehicle motorcycle crashes happen in curves. Why?Improper control of the bike, poor understanding of a curve, and not looking through the path of travel. These 0 new students have grasped the concept.     	{'place_id': '1c69a67ad480e1b1'}
1326157880437973000	2021-12-17T01:01:58.000Z	1471646819042172938	What was the last thing space travel/research has done for humanity that actually changed our lives?	{'place_id': '1c69a67ad480e1b1'}
855292801	2021-12-17T00:36:14.000Z	1471640345469337600	Very ready for  to come visit me so I can finally eat  (& convince him to move to Texas) 🤠	{'place_id': '1c69a67ad480e1b1'}
1042995672662736896	2021-12-18T23:55:11.000Z	1472354787769339911	Houston, don’t let the rain dampen your holiday photo plans! Come visit TFTI for indoor selfie fun located inside Houston Galleria! Now open tonight until 0PM. Grab tickets at  📸: lilig0   	{'place_id': '1c69a67ad480e1b1'}
1160428891477069824	2021-12-18T23:43:59.000Z	1472351969608146946	The last week before Winter Break was fun! Ss had an amazing performance for the Winter Program. One of the centers was to color stockings. I used glitter glue to write their names & worked on letter sounds. We had ice-cream & a special visit from Santa!🎅🏼🎁🎄❄️ 	{'place_id': '07d9ca9af3c87004'}
1314735356483436550	2021-12-18T23:33:05.000Z	1472349226017378304	🚨🚨Tomorrow is my LAST DAY🚨        I am available now in Houston, Texas, United States! To get in touch, visit me on  	{'place_id': '7a41192a2879ee24'}
1425604193990160386	2021-12-18T22:37:30.000Z	1472335239200530447	Interested in learning more about us, registering forclasses, or making a donation to support our mission?Please visit: 	{'place_id': '11dbb03219946000'}
357281469	2021-12-18T22:35:42.000Z	1472334787050291203	The desire to travel alone almost supersedes the fear of being kidnapped and human trafficked	{'place_id': '1c69a67ad480e1b1'}
449407250	2021-12-18T20:12:20.000Z	1472298709509672960	   All that travel and pretty much nothing to show for it	{'place_id': '1c69a67ad480e1b1'}
3629405971	2021-12-18T19:20:02.000Z	1472285546055708672	Had an awesome in home visit with  Loved everything I heard today and am looking forward to visiting in January!         	{'place_id': '6dd590c61801b09c'}
1279440611758792705	2021-12-18T18:58:25.000Z	1472280107075129352	The long-awaited moment is approaching... Furry ball does not seem as excited I'm 😂     	{'place_id': '1c69a67ad480e1b1'}
2748093344	2021-12-18T18:56:48.000Z	1472279698025717772	me when i visit my moms hometown 	{'place_id': '7a41192a2879ee24'}
538194602	2021-12-18T14:51:24.000Z	1472217943236915207	  please also visit the historical 0 0-room Wooster School & 0 Brown-McKay House located at the Republic of Texas Plaza, 0 North Main Street in Baytown, TX- USA on your next stop ❤	{'place_id': '011f5b2126127c09'}
979610125	2021-12-18T14:04:15.000Z	1472206077622210563	 I thought Columbus never made it into to the new world from the Caribbean Island. Didn't he get sick n travel back to Spain where he died soon after?Cortez is the one that entered the new world to what is now Mexico City. Juan de Onate settled El Paso later NM, Colorado region	{'place_id': '1c69a67ad480e1b1'}
1096585301642874880	2021-12-18T11:46:02.000Z	1472171291633496071	Good morning tweethearts on the road toss up prayer for on a safe travel thank u in advance I’ll check in at stops 🥰😘 love y’all beautiful MF’ERs 	{'place_id': '38d0e797745f4c5d'}
18988977	2021-12-18T09:18:07.000Z	1472134068200513536	He exposed every one on that room who likely went back to offices with other people, who likely rode metro trains etc. who are likely going to get on planes and travel over the next two weeks…. 	{'place_id': '1c69a67ad480e1b1'}
379892972	2021-12-18T06:03:27.000Z	1472085079375716352	Literally cannot wait to be in Guanajuato to visit family in 0 weeks *shrieks* 🥲	{'place_id': '1c69a67ad480e1b1'}
1032075002307338240	2021-12-18T05:49:43.000Z	1472081622723878913	    I just want to cry 😍😍😍😍 that is soooo sweet of you to visit the students	{'place_id': '1c69a67ad480e1b1'}
4636841	2021-12-18T03:54:56.000Z	1472052737068175369	Whoever signed off on the emoji is getting a visit from the ghost of Ron Stone on Christmas Eve 	{'place_id': '1c69a67ad480e1b1'}
1326157880437973000	2021-12-18T03:00:52.000Z	1472039131983323138	Hero statusMan Kicked Off United Airlines Flight For Using Thong As Mask |  	{'place_id': '1c69a67ad480e1b1'}
217313988	2021-12-18T02:26:24.000Z	1472030454916263940	Live a bit. Travel. Experience some new food. Great for conversation😊	{'place_id': '65200dae56245cf0'}
79887712	2021-12-18T02:22:14.000Z	1472029409871904768	   My GF used to go to championforest in Houston .  I’ve been wanting to visit there. Lol	{'place_id': '1c69a67ad480e1b1'}
2886596348	2021-12-18T01:45:11.000Z	1472020083002294287	   Since you’re obviously a person who loves music, just finished a Jennifer Egan novel called A Visit from the Goon Squad which is about the world of popular music (though not all the time).She won the Pulitzer for it.	{'place_id': '1c69a67ad480e1b1'}
558914811	2021-12-18T01:03:20.000Z	1472009554112167937	Announcement: Hamilton MS will be hosting Camp Spark from 0am to 0pm on Monday, Dec. 0th to Tuesday, Dec. 0st 0. Please visit our campus website for more details! ➡️➡️     🔵⚪️   	{'place_id': '1c69a67ad480e1b1'}
