4862436401	2021-10-20T20:54:22.000Z	1450928400449875972	 It was my treat! You have a beautiful space, and it made me appreciate a section of the river I don’t often visit.	{'place_id': '1d9a5370a355ab0c'}
2537874118	2021-10-20T20:40:25.000Z	1450924890098446346	0 more states to go..couldn’t be more happier to travel them with you❤️ 	{'place_id': '1d9a5370a355ab0c'}
347926119	2021-10-20T20:35:37.000Z	1450923680821911554	The last booth visit from  is  They are showing off their new Series 0 electric actuators in multiple sizes. 	{'place_id': '1d9a5370a355ab0c'}
408219132	2021-10-20T20:13:47.000Z	1450918188162719746	 You been traveling a lot lately bro, you in Alabama now?	{'place_id': '1d9a5370a355ab0c'}
29824624	2021-10-20T19:48:19.000Z	1450911780474077188	The jet fuel based carbon footprint of women on Hinge has to be massive. You don't need to travel that much or that far.	{'place_id': '1d9a5370a355ab0c'}
742043463244382208	2021-10-20T18:24:13.000Z	1450890614904659970	 i’m gonna have to fly to denver today for this 🥶	{'place_id': '1d9a5370a355ab0c'}
343144721	2021-10-20T18:00:10.000Z	1450884562712768522	    The bubble where there's no excuse not to have a valid photo ID because it's needed to travel to Mexico... Thought that was obvious. Education must suck in your bubble.	{'place_id': 'ed888f00de07aa3a'}
58690623	2021-10-20T17:47:38.000Z	1450881407824375815	Normally I travel to different neighborhoods to admire different architecture styles, but sometimes I remind myself that there are some absolute gems in my own backyard. 	{'place_id': '1d9a5370a355ab0c'}
15281728	2021-10-20T16:43:40.000Z	1450865311163379720	You know you're gonna have a good time traveling when a surprise  is on your flight!  See ya soon 	{'place_id': 'f73e32e0ec3fcc45'}
1611670422	2021-10-20T15:25:43.000Z	1450845691958411269	 that shit traveling fast!	{'place_id': '1d9a5370a355ab0c'}
36475665	2021-10-20T14:54:54.000Z	1450837938745524226	Only 0-Hours until   0 Hour Marathon begins!  and I are so excited to visit our favorite theater in the world after an almost 0 year absence! The line-up is AMAZING 🔥 this year (as always) - something for everyone! Can👏not👏wait 👏! 	{'place_id': '1d9a5370a355ab0c'}
22523235	2021-10-20T13:59:21.000Z	1450823959604305921	0 mins to travel less than 0 miles.  WTF, is up with the ongoing traffic issues in Rogers Park / Edgewater?!  What a nightmare...DAILY.  Get it together, Chicago's City Planning Dept.!/End of rant     	{'place_id': '1d9a5370a355ab0c'}
216740490	2021-10-20T13:56:15.000Z	1450823177454510088	  Helps on travel costs.	{'place_id': '1d9a5370a355ab0c'}
2348369840	2021-10-20T13:22:43.000Z	1450814738007531523	  I better be on the list when I come visit you! 	{'place_id': '1d9a5370a355ab0c'}
99138746	2021-10-20T13:17:52.000Z	1450813521407655936	I'm at O'Hare Oasis Travel Plaza in Schiller Park, IL 	{'coordinates': {'type': 'Point', 'coordinates': [-87.88328592, 41.95059817]}, 'place_id': '7c9d51a2fd0a7552'}
316698745	2021-10-20T12:53:43.000Z	1450807442758148099	My junior year in Caceres, Spain, &  senior individualized project (SIP) in Freetown, Sierra Leone were deeply impactful experiences for me (K’0), contributing greatly to my lifelong love of international travel & career as an immigration attorney.    🐝🐝🐝🐝 	{'place_id': '1d9a5370a355ab0c'}
29905725	2021-10-20T11:42:57.000Z	1450789633361653767	i've been toying with the idea of flying back to my hometown(s) and working from there for a week just to remind myself what it's like to be trapped & miserable	{'place_id': '1d9a5370a355ab0c'}
