258055650	2020-05-26T04:49:03.000Z	1265142884199739392	With May 0 coming to a close and  the many attempts to open our nation, it makes me think A LOT about June.What is the best approach to utilize another month under a pandemic? Safely travel or Stay in the house? Either one, time is needed to be used wisely.	{'place_id': '1d9a5370a355ab0c'}
2996018289	2020-05-26T04:04:18.000Z	1265131621679849472	I need my girls to fly to Chicago	{'place_id': '1d9a5370a355ab0c'}
799859257	2020-05-26T01:54:18.000Z	1265098908570697733	  You know what you're doing. I saw you mention Burmese food, which is a total winner in my book. My experience was shaped by what my parents wanted. Only comps were Quebec & the Carolinas, where pulled pork was memorable as hell. I did QC & Mont, will need to visit Toronto too.	{'place_id': '8b351eeb91372dc7'}
251950387	2020-05-26T01:51:00.000Z	1265098077452619776	This is why I travel alone. Although my Denver trip was top tier. 	{'place_id': '1d9a5370a355ab0c'}
287306593	2020-05-26T01:28:11.000Z	1265092334112452609	 He makes the secret service rent golf carts from the resorts/golf courses he owns. I top of travel and all the other shit. 	{'place_id': '8b351eeb91372dc7'}
2225662255	2020-05-26T01:07:48.000Z	1265087202960330752	 You really snapped in each one shit I want you to be able to travel again too	{'place_id': '1d9a5370a355ab0c'}
18268285	2020-05-26T00:40:05.000Z	1265080229334319107	  We are trying to recall her.It's not the cops fault as hundreds of them have been demoted or suspended for not enforcing the orders. We need a DOJ Visit to inform her of the Constitution. 0 dead and 0 additional shot as of this morning. Everything is closed	{'place_id': '1d9a5370a355ab0c'}
2357131945	2020-05-27T23:56:49.000Z	1265794117335990272	  less travel. they’d eliminate fall break, and kids would be at home during heavy travel times.	{'place_id': '1d9a5370a355ab0c'}
1901451498	2020-05-27T23:55:20.000Z	1265793743304744961	Back by popular demand....our friends came to visit  field again. This time it seems he/she was testing its 0yd dash! Ms. Maria with the professional camera work!   	{'place_id': '1d9a5370a355ab0c'}
631676762	2020-05-27T23:35:41.000Z	1265788800816549888	come visit us Friday 🤩🤪 	{'place_id': '530c22e82c7a2868'}
1162129838876102656	2020-05-27T23:24:45.000Z	1265786047860019200	THANK YOU for the safe distance visit  It meant SO much to Maddie to see you again. She misses you so much. The kindness in your eyes shows why you are loved. 💗   	{'place_id': '0da8a6c990f02eed'}
1012550424472227840	2020-05-27T22:28:41.000Z	1265771935625076736	 Fucking Periodt. Might be selfish and take myself on a trip to Walmart 	{'place_id': '1d9a5370a355ab0c'}
1228784640	2020-05-27T22:25:18.000Z	1265771084542066689	It’s true!  is now officially offering delivery, pickup & carryout services every day from 0PM to 0PM! Visit  to check out their menu & place your order today!      	{'place_id': '0c30d09354d5a006'}
1335356264	2020-05-27T22:00:16.000Z	1265764784563277836	       You  never cease to amaze me. It’s an unfortunate yet fascinating study in human nature. Please make your travel reservations for Guyana.	{'place_id': 'ef28358de03cb92e'}
192082047	2020-05-27T21:52:50.000Z	1265762914889347079	 I’m bout to time travel back to Sunday cuz I ain’t get none this week 😩	{'place_id': '1d9a5370a355ab0c'}
251380995	2020-05-27T21:25:26.000Z	1265756019063431170	Can the state impose a temporary travel ban on non-Illinois resident?	{'place_id': '1d9a5370a355ab0c'}
1640719795	2020-05-27T20:53:18.000Z	1265747933170892805	Any birthdays coming up? Anniversaries? Graduations? People that really like cake? You can order our cakes (and other amazing bakery treats) online! Visit  	{'place_id': '1d9a5370a355ab0c'}
164411067	2020-05-27T20:41:02.000Z	1265744847295709184	Look who came to visit me at work today!!!!!      @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
117518230	2020-05-27T20:29:20.000Z	1265741902344851457	lifeofchicago    traveling_the_u.s illinois  enjoyillinois visit.chicago  chicago chicago_and_do chicago_and_do  … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62756161, 41.89592834]}}
117518230	2020-05-27T20:19:01.000Z	1265739307953913857	lifeofchicago    traveling_the_u.s illinois  enjoyillinois visit.chicago  go.chicago chicago_and_do chicago   @ Clark/Lake… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.63248323, 41.88577168]}}
117518230	2020-05-27T20:16:02.000Z	1265738556611481606	chicago chicago_and_do go.chicago  visit.chicago enjoyillinois  illinois traveling_the_u.s    lifeofchicago   @ Clark/Lake… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.63248323, 41.88577168]}}
117518230	2020-05-27T20:06:32.000Z	1265736163777826819	chicago chicago_and_do go.chicago  visit.chicago enjoyillinois  illinois traveling_the_u.s        … 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.63102788, 41.88735406]}}
117518230	2020-05-27T20:00:33.000Z	1265734658937032706	Baggage claim area  ohare_airport_lovers chicago chicago_and_do go.chicago  visit.chicago enjoyillinois  illinois americanair   traveling_the_u.s @ Chicago… 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.885934, 41.980642]}}
