167510425	2021-10-07T18:31:18.000Z	1446181354798989314	Sooooooo…I can’t get to work right now cause they have the streets blocked off for the presidential visit AND they aren’t scheduled to reopen the only way for me to get to work until 0pm…which is when the show starts so I dunno what I’m gonna do here. 	{'place_id': 'cdf74b55fc0d4600'}
1433645045807202305	2021-10-07T18:06:39.000Z	1446175149879877632	    The right part of the bar being further to the left indicates a sooner arrival. Shorter bars indicate less travel.	{'place_id': '1d9a5370a355ab0c'}
3613388775	2021-10-07T17:44:06.000Z	1446169476085452804	  Says Regina that dont travel. You are really lost.	{'place_id': '227d358f6ed8d29e'}
274685649	2021-10-07T17:09:59.000Z	1446160892815679491	for the life of me i dont understand how this aint travel. how can you just do that? 	{'place_id': '1d9a5370a355ab0c'}
37973195	2021-10-07T17:05:43.000Z	1446159818566381574	Closed due to presidential visit in  on Arlington Heights Rd Both NB/SB between Higgins Rd (Route 0) and Hwy 0/Algonquin Rd  	{'coordinates': {'type': 'Point', 'coordinates': [-87.98734, 42.02819]}, 'place_id': '227d358f6ed8d29e'}
11270742	2021-10-07T16:50:37.000Z	1446156017113309190	Air Canada won major honours at recent Skytrax awards: best airline staff in Canada and North America, best business class lounge N. America,plus a COVID-0 airline excellence award and six Global Traveler Leisure Awards. Congrats!    	{'place_id': '1d9a5370a355ab0c'}
37973195	2021-10-07T16:05:43.000Z	1446144718971228163	Closed for presidential visit in  on Higgins Rd (Route 0) Both EB/WB between Oakton St and Arlington Heights Rd  	{'coordinates': {'type': 'Point', 'coordinates': [-87.9637, 42.0224]}, 'place_id': '227d358f6ed8d29e'}
37973195	2021-10-07T16:05:43.000Z	1446144717729763328	Closed for presidential visit in  on Oakton St Both EB/WB between Shadywood Ln and Rte 0/Busse Rd  	{'coordinates': {'type': 'Point', 'coordinates': [-87.97729, 42.02214]}, 'place_id': '227d358f6ed8d29e'}
339154395	2021-10-07T15:35:39.000Z	1446137150215495681	We are dreaming of you wearing this dress. 💭😘🚨🚨🚨🔥🔥  Just arrived and ready to go home with one lucky bride.Visit the link in bio to schedule an appointment ⬆️ @ Veiled By ChaCha 	{'coordinates': {'type': 'Point', 'coordinates': [-88.06774, 41.87668]}, 'place_id': 'd77ed7c9521c898d'}
1009113904209899520	2021-10-07T14:38:51.000Z	1446122858741043209	Looking forward to checking out  this Saturday against  Will be great to visit EMU where  is headed next year. Thank you  and  for the invite!    	{'place_id': '222efb7ee8b98c58'}
271535681	2021-10-07T13:51:50.000Z	1446111027167330321	  hear me out, travel with The Chicago Bucket Boys and instead of buckets give them trash cans.  	{'place_id': '1d9a5370a355ab0c'}
594644807	2021-10-07T13:44:50.000Z	1446109265215721474	0 years ago today my students Spider Egg research project  was sent to the ISS via  Look at the progress we have made. Now these students are adults who can possibly travel via a rocket 🚀 in their lifetime.       	{'place_id': '50f296a1bd4198b6'}
3360732255	2021-10-07T13:33:25.000Z	1446106389995266051	I Got You©️💋If ever I marry—My mAn has to be an adventurous lyricist. We’ll bask in  Poe & Baldwin, And revel in irony from Jane Austen’s novelty. We’ll  & travel with novelist Diana Gabaldon, a  lay, in Rumi’s kingdom.   🤫✍️🏽 	{'place_id': '1d9a5370a355ab0c'}
164381786	2021-10-07T13:31:32.000Z	1446105915363627014	  Well here's hoping Grim pays him a visit soon !	{'place_id': '4f798ddf05f97f68'}
36350694	2021-10-07T10:45:11.000Z	1446064051482673159		{'place_id': '99700cd6fc455c13'}
3220781870	2021-10-07T03:38:41.000Z	1445956719994097666	What are we to do as Christians in a culture that is changing constantly?For more info visit   	{'place_id': '1d9a5370a355ab0c'}
377158949	2021-10-07T03:31:31.000Z	1445954915772375045	Post a favorite old photo of yourself that brings back memories. I'll start. Brussels in 0, when I used to travel with my 📷 and shoot black and white photos. Neuhaus Chocolates! 	{'place_id': 'e214bb64bf8aa04d'}
3158667679	2021-10-07T02:56:43.000Z	1445946160389181444	Don't tell my friends that I'm here to visit.	{'place_id': '1d9a5370a355ab0c'}
1029793559363416068	2021-10-07T01:52:48.000Z	1445930073601634306	             Time for another visit perhaps?! 😉	{'place_id': '1d9a5370a355ab0c'}
409468260	2021-10-07T01:51:01.000Z	1445929624131809282	What are we to do as Christians in a culture that is changing constantly? For more info visit   	{'place_id': '1d9a5370a355ab0c'}
596501802	2021-10-07T01:02:21.000Z	1445917376571129858	This sounds like they were choosing which cities could you visit five years in a row. 	{'place_id': '1d9a5370a355ab0c'}
43285771	2021-10-07T00:25:16.000Z	1445908044429373444	I’m now getting excited about my upcoming trip to my motherland and visit my childhood home and getting to see my mami ❣️	{'place_id': '1d9a5370a355ab0c'}
357889556	2021-10-07T00:06:23.000Z	1445903294484865025	The happiness 💚&💚joy students & staff feel when our 0-legged friends visit TMS is palpable and infectious!  K0 Argos & Officer Butler walk the halls & everyone stops to share in the 💚! Great medicine for turning any 😰 upside down 😁. Thank you for spreading💚! 	{'place_id': '07d9c96793885006'}
16215838	2021-10-08T23:15:36.000Z	1446615288947093504	This Game Sunday Is Like Going To Visit A Family Member In The Hospital On End Of Life Care. You Know They Bout To Die Could Be Today, Could Be Tomorrow 🤷🏿‍♂️  Turned Into 	{'place_id': '1d9a5370a355ab0c'}
121989099	2021-10-08T22:40:47.000Z	1446606525624197125	Delay delay delayWelcome back to air travel	{'place_id': '0fc7e0a406d55000'}
730433903224340480	2021-10-08T21:00:54.000Z	1446581392003977226	 come by for a visit! ..  @ A Peaceful Path 	{'coordinates': {'type': 'Point', 'coordinates': [-87.78754754, 41.69013231]}, 'place_id': '4c46121d44b7ce9e'}
1214257053683736576	2021-10-08T20:37:19.000Z	1446575455226695685	What a great way to kick off CAM month with a visit from our RVP Tony.  He gave a huge shout out to our 0 CAM winner Eliana  !!!    	{'place_id': '1d9a5370a355ab0c'}
2892473877	2021-10-08T20:24:26.000Z	1446572215953248264	  To be clear, I know politicians are just as hypocritical and often even worseWe wrote a blog in defense of billionaires and rockets because space travel is awesome  	{'place_id': '1d9a5370a355ab0c'}
30803375	2021-10-08T19:01:43.000Z	1446551396380250114	“I don’t think I messed up the drawing…they aren’t supposed to always be perfect…when the unexpected happens it sometimes surprises you…” Wise words from our virtual visit with  this afternoon.   	{'place_id': '2a313fd924081b90'}
193367994	2021-10-08T18:41:28.000Z	1446546302720937985	 Agreed, but I have yet to visit Prague and them’s the rules	{'place_id': '1d9a5370a355ab0c'}
3360732255	2021-10-08T18:05:21.000Z	1446537213580304384	Soar ©I am most content when I travel. I soar like a  that spreadits wings—off to the stratosphere &through the  until Iland on the Caribbean tides while I flyin stride and SEE what can’t be HEARD as I soar like a bird.✍️🏽   	{'place_id': '1d9a5370a355ab0c'}
521825608	2021-10-08T17:26:26.000Z	1446527418936827925	 Travel kitty prepared! Safe catt ! Battle ready ^_^	{'place_id': '918c943e88cc3e5d'}
108755540	2021-10-08T17:07:02.000Z	1446522537215598594	Congrats on your new  show,  Come visit us soon, we guarantee it'll be one of your top five nights of all time! 🕺 💃    	{'place_id': '1d9a5370a355ab0c'}
840588057480962048	2021-10-08T17:00:36.000Z	1446520918344404992	Had a really fun birthday yesterday with a trip to  & a surprise visit from   Bought myself a present too! 🎸🎂 	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2021-10-08T16:32:59.000Z	1446513968407842826	Travel is SO glamorous 	{'place_id': '0a64781b5a976000'}
2359922774	2021-10-08T16:29:46.000Z	1446513159607627785	Voicemail dials that voice mastered people put on cell phone or landline put those on something and travel?	{'place_id': '1d9a5370a355ab0c'}
77535577	2021-10-08T16:01:48.000Z	1446506120676261899	World's 0 best restaurants for 0  via 	{'place_id': 'ed888f00de07aa3a'}
191468202	2021-10-08T15:37:06.000Z	1446499902209474565	Chicago River!             @ Chicago Riverwalk 	{'coordinates': {'type': 'Point', 'coordinates': [-87.62558788, 41.88832518]}, 'place_id': '1d9a5370a355ab0c'}
