479760616	2020-01-07T16:51:54.000Z	1214590495441203205	When did covering your mouth when you yawn go out of style? People kill me with that, especially on a crowded subway.	{'place_id': '01a9a39529b27f36'}
152680420	2020-01-07T16:49:37.000Z	1214589919408119808	  Thank you thank you. Still need you to school me with your marketing perspective	{'place_id': '01a9a39529b27f36'}
985148737289883648	2020-01-07T16:46:27.000Z	1214589124109357057	 Fotos dulos, boyfriend of CT woman Jennifer dulos who went missing after dropping her kids off to school last may has been charged with murder and is under arrest - multiple sources report	{'place_id': '65e3a577f1940550'}
3292639344	2020-01-07T16:40:52.000Z	1214587717192949761	 why is there an israeli flag flying at school? i’m going out on a limb and assuming they don’t have any other flags from the middle east?	{'place_id': '01a9a39529b27f36'}
36837400	2020-01-07T16:25:05.000Z	1214583747217174529	How our Latino parents dique got to school everyday shoeless 🤔🤔 	{'place_id': '002e24c6736f069d'}
131930536	2020-01-07T15:38:51.000Z	1214572108912758784	Back to school (@ Long Island Business Institute in Flushing, NY) 	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.82917015, 40.76059041]}}
4744552306	2020-01-07T15:25:58.000Z	1214568867382644741	 We not stopping I barely go out now so if I wanna treat myself so be it	{'place_id': '01a9a39529b27f36'}
39202193	2020-01-07T15:05:35.000Z	1214563740764364802	 When it comes to college football news. My first, second, and third thoughts are how does this affect fsu?	{'place_id': 'fa3435044b52ecc7'}
17058110	2020-01-07T14:47:58.000Z	1214559303735971840	Choices...we make them several times everyday. Some are easier than others yet some of us do go to work to make them harder than necessary. Change is part of life...how we respond is 0% our choice.	{'place_id': '011add077f4d2da3'}
3220726020	2020-01-07T14:21:03.000Z	1214552530983755776	Thanking God that my family in Puerto Rico are safe after that earthquake🙏🏻. My prayers go out to those families that were affected. 	{'place_id': '002e24c6736f069d'}
260831150	2020-01-07T14:10:28.000Z	1214549867818823681	Lmao I had a dream last night that Walmart was going out of business and people bum rushed the place bc everything was dirt cheap and all the employees quit bc shit got crazy so it legit looked like a scene from the walking dead and I came in after the madness...	{'place_id': '7356b662670b2c31'}
51113010	2020-01-07T13:53:46.000Z	1214545665512095746	If my commute wasn’t so ass I really wouldn’t mind going to work everyday	{'place_id': '002e24c6736f069d'}
439515341	2020-01-07T13:35:33.000Z	1214541079753740288	"The nastiest, most dangerous people on the street? Parents walking their kids to school at the church. As I try to jog by, taking up a tiny slice of sidewalk (there is plenty of room) they walk right into me, shove me, shout insults & tell me ""get out of here! Go in the street!"""	{'place_id': '00c39537733fa112'}
1059109360192892928	2020-01-07T13:31:58.000Z	1214540179177951234	the way people on my 0 train bullied a sick passenger off the train cus they have to go to work lmfaoooooooooo	{'place_id': '002e24c6736f069d'}
3292290286	2020-01-07T13:00:24.000Z	1214532233664618497	 “EARTH QUAKES... The house shakes... When the LIGHTS go OUT... The BLACKOUT, is this an extinction event we see?” “They arrive like an EARTHQUAKE, sweep through like a tornado. Sun and moon turn OUT their LIGHTS, stars BLACK OUT.” 0:0 MSG  	{'place_id': '01a9a39529b27f36'}
1196263124	2020-01-07T12:50:40.000Z	1214529785277407235	Good morning 🌍!!! I hope all is well with everyone. I think my head cold gets a bit better than it gets a worse. Today, I am feeling good. ‘I will keep getting better!!’ Positive Thinking is going to work...with a bit of self-care. 😃	{'place_id': 'bceb8153865c4a49'}
26644743	2020-01-07T12:40:49.000Z	1214527306489835521	The hardest part of going to work is waking up on time	{'place_id': '002e24c6736f069d'}
106908377	2020-01-07T12:39:26.000Z	1214526959092404225	"I need to find a book called ""how to go back to school when you illegitimately dropped out halfway thru the semester (now regretting it)  and only have 0 credits left and 0k in debt..."""	{'place_id': '00c39537733fa112'}
3367231463	2020-01-07T11:37:10.000Z	1214511286995836928	I ... wanna go to work?	{'place_id': '00c39537733fa112'}
24624333	2020-01-07T10:35:17.000Z	1214495715986198528	I will not being going out on Monday for a bit. What am I kidding I will! Just less drinking haha	{'place_id': '011add077f4d2da3'}
18252171	2020-01-07T10:21:33.000Z	1214492259971932161	I refuse to believe an otherwise stellar all-star lineup is going with Farrell as Cobblepot. Hollywood is full of slight, strange-looking men who deserved this shot. Specifically the two guys who went to school with Bruce Wayne,  one of whom has already farted with the Riddler. 	{'place_id': '011add077f4d2da3'}
548461465	2020-01-07T09:34:16.000Z	1214480361301987328	Don't sit back and let things happen to you. Go out and happen to things.	{'place_id': '7c09539af94ab80b'}
285744716	2020-01-07T09:05:48.000Z	1214473194771492864	Just happen to me this morning at 0 am go to work and hear f*** Jew I hate jewish community it’s completely no sense !!! 	{'place_id': '07d9ec7577880001'}
3398717277	2020-01-07T08:07:57.000Z	1214458636581429248	Winter break feels so long til it’s january then boom you back on that bus back to school😂😂😭	{'place_id': '01a9a39529b27f36'}
2766757245	2020-01-07T07:09:04.000Z	1214443821083348992	  Lmao nah sometimes you just wanna go out and not be on your crazy shit, but then that song comes on and you just like fuck	{'place_id': '23a06e5cc6d83009'}
839526140796600321	2020-01-07T07:04:05.000Z	1214442566072111104	Currently regretting not going to college....	{'place_id': '011add077f4d2da3'}
892067531606949890	2020-01-07T06:52:13.000Z	1214439580692369408	back to school for me today after a lovely Christmas holiday. Have a great week everyone           	{'place_id': '01a9a39529b27f36'}
2776662572	2020-01-07T06:15:58.000Z	1214430456671850496	I’ve done it before it’s not that deep. I go out with a budget to spend for dinner. 	{'place_id': 'b8d145028b2571ac'}
