2021-07-13T20:02:14.000Z	1415038883209875471	  Interesting. So both key travel and mechanism and more the latter?	{'place_id': '01a9a39529b27f36'}
2021-07-13T19:19:44.000Z	1415028187885670400	Six things I love in no particular order0. Boston Sports 🏈 ⚾️ 🏒 🏀 ⚽️ 0. Rock music 🎶 0. SoulCycle 🚲 0. Beer 🍻 0. NY Pizza 🍕 0. Travel 🧳 I nominate      	{'place_id': '01a9a39529b27f36'}
2021-07-13T19:17:42.000Z	1415027673949261824	Loved checking out the new  🤩    	{'place_id': '1363c5a4e8157002'}
2021-07-13T18:27:06.000Z	1415014941384396806	   I bring my own face towels when I travel cuz the hotel joints are scratchy af. 😆	{'place_id': '01a9a39529b27f36'}
2021-07-13T18:20:44.000Z	1415013339017666560	I just wanna travel across the world in fab fits, eat good food and take cool pics w my friends	{'place_id': '51df886075148e45'}
2021-07-13T18:10:20.000Z	1415010723751661573	I live in NJ, everytime I visit my family in FL my hair thrives. It always looks great with minimal effort, versus here in NJ it takes so much effort for my curls to look good 😩😩😩😩	{'place_id': 'e993aa6b2023e210'}
2021-07-13T17:37:39.000Z	1415002496397987843	Let’s get our priorities straight,    Maybe worldwide universal healthcare should come BEFORE space travel, just a thought. “… and world peace” 	{'place_id': '00c39537733fa112'}
2021-07-13T17:25:01.000Z	1414999317379756037	 A0. I second vietnam- such an amazing place to  for  	{'place_id': '00c39537733fa112'}
2021-07-13T17:13:33.000Z	1414996432327688202	   Pete almost making a surprise visit tonight. 	{'place_id': '38718ccc91e76508'}
2021-07-13T17:12:38.000Z	1414996199967428608	My friend just told me a story about a girl she met through a travel website, who she let stay in her house, with her parents, without ever meeting her in person. Of course my response was that she is way braver than I am because that sounds like  waiting to happen	{'place_id': 'a513f4c6571b6544'}
2021-07-13T16:43:16.000Z	1414988809738113026	 There’s definitely a wide variety of trips out of our main hub. I’ve gotten to visit a lot of new states so far!	{'place_id': '01a9a39529b27f36'}
2021-07-13T16:42:12.000Z	1414988541621321733	  Do they make rain ponchos in any other color than yellow for all y’all travel photogs or….? 	{'place_id': '011add077f4d2da3'}
2021-07-13T16:18:15.000Z	1414982514796544007	 Does the Scottish announcement of lifting travel ban on Amber countries allow us to travel there from US? It’s not clear, thanks!	{'place_id': 'cbafaaf6455dea32'}
2021-07-13T16:13:27.000Z	1414981309567537154	… travel log: leaving laguardia.had a ham & cheese sammich & cold brew that cost $0 next to a new computerized fountain on a fancy wooden bench before going down an escalator to a dank basement to board my flight next to a ‘caution: wet floor’ sign. new york is back, baby.	{'place_id': '00c39537733fa112'}
2021-07-13T16:09:26.000Z	1414980296781582338	The main question I have about time travel is what do they do about their meds? What’s Lexapro withdrawal look like in the Middle Ages?	{'place_id': '01a9a39529b27f36'}
2021-07-13T16:01:42.000Z	1414978352037904389	Thank you for letting me visit! It was wonderful to meet your students! And, although Jenga scares me, I am stealing this idea. 	{'place_id': '1e11d8be00564690'}
2021-07-13T15:45:17.000Z	1414974219058917385	  That’s pretty cool. It’s on my travel list for sure.	{'place_id': '01a9a39529b27f36'}
2021-07-13T15:35:48.000Z	1414971832726429700	Let’s go Coach Mugsy  I just voted for the  Coach of the Year! Visit  to vote too!  	{'place_id': '002e24c6736f069d'}
2021-07-13T14:43:00.000Z	1414958544114356232	Well , now . A visit soon must be in order! 	{'place_id': '01a9a39529b27f36'}
2021-07-13T14:42:19.000Z	1414958375247486982	 is teaming up with team  &  in the  Breeders Crown Charity Challenge.  Visit  to vote for our team.  The winning team receives the largest donation from the event!  	{'place_id': 'a227c629b631eea2'}
2021-07-13T14:14:24.000Z	1414951347292618756	Good morning NY 🤍    ❤️‍🔥       en Radio City Music Hall 	{'coordinates': {'type': 'Point', 'coordinates': [-73.97918165, 40.75978493]}, 'place_id': '01a9a39529b27f36'}
2021-07-13T14:10:49.000Z	1414950446209323021	  exactly lol. VERYYYYY FEW. some major cities don’t even have upper class black neighborhoods. so now i have to travel all across america to find one to raise my kids LOLLL ok. & the definition of ghetto is a part of a city occupied by a minority, it usually is low class..	{'place_id': '00c39537733fa112'}
2021-07-13T14:04:05.000Z	1414948751798571024	 What transit system has more leisure travel than commutter travel?I'm all for getting wealthy white people conspicuously consuming public transit, but the 0-0 commute will always be the closest thing to profitable	{'place_id': 'de7b13455f6b23f3'}
2021-07-13T14:02:48.000Z	1414948430238081038	 Not the same. Other teams fans were NOT allowed to travel and come to England (like Italy and Croatia) or were traveling thousands of miles to Azerbaijan. What about home cooking like that PK vs Denmark. What about being blind and just coaching NOT to lose after early leads (0)	{'place_id': '049dab98ad35cd07'}
2021-07-13T14:01:49.000Z	1414948182614847488	Once I receive your travel itinerary, I'll introduce you to your  Mr Peter @    our dispatch team is standing by, Pls feel free to call or text us and remember for additional payment options we except  0•0•0 ☎️ MGMT 	{'place_id': '00c39537733fa112'}
2021-07-13T13:47:58.000Z	1414944694539280386	I literally hate flying i cant wait until teleportation is a legit way to travel 😩🤣🤣🤣🤣	{'place_id': 'b74cebcb62a1a686'}
2021-07-13T13:38:16.000Z	1414942254217809930	 Nice that you went there..gotta go again when I get the chance..the freedom tower is also a good place to visit as well.	{'place_id': '01a9a39529b27f36'}
2021-07-13T13:31:28.000Z	1414940542581022729	Hey  want to visit one of the largest net metered solar fields east of the Mississippi? You can see it at our  Belvidere NJ plant-this week we also announce that Parsippany HQ  NA is 0% renewable electricity   	{'place_id': 'de7b13455f6b23f3'}
2021-07-13T13:28:49.000Z	1414939877892821003	 Ok that wolf looks mad cute. I might come visit y’all 😂	{'place_id': '002e24c6736f069d'}
2021-07-13T13:02:36.000Z	1414933276935004162	Y’all: “ all summer do is leave her baby with the dad or granny to travel with her friends”Summer: “ I raise my daughter everyday. Only time she stays with a nanny is when I’m at work. Even her dad only sees her in the weekend”Y’all: “summer said he a deadbeat” 🤣🤣 	{'place_id': '00c39537733fa112'}
2021-07-13T12:23:38.000Z	1414923473286270978	  &  Good morning! My 0 week New York adventures has begun and I got a lot on my mind on where to travel! NEW YORK CITY IS PARTY CITY FOR ME! 	{'place_id': '00c55f041e27dc51'}
2021-07-13T12:00:54.000Z	1414917751760723968	  to always buy from the locals when you travel. Shoutout to you Haiti 🇭🇹 @ Paterson, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.171934, 40.917295]}, 'place_id': '23a06e5cc6d83009'}
2021-07-13T10:53:41.000Z	1414900835671216130	Up At The Very Crack To Travel Across The Pond For A Few Glorious Weeks To Work On A Top Secret- Dream Come True Project! I Am So Very Grateful That THE UNIVERSE Is Allowing Me The Opportunity To Fulfill Yet Another BUCKET LIST Dream! United Kingdom…Here I Come! 😀🙏🏽✈️❤️🎉 	{'place_id': '00c39537733fa112'}
2021-07-13T10:25:54.000Z	1414893843464564757	Funny how we're pretending to be so surprised that people want to travel and see family and enjoy life rather than work at a job all day where they're micromanaged and yelled at. It's not all about wages.	{'place_id': 'b046074b1030a44d'}
2021-07-13T09:56:06.000Z	1414886345412120576	    Pix of yesterday’s visit to my raised bed at ESCG.      @ Early Street Community Garden 	{'coordinates': {'type': 'Point', 'coordinates': [-74.48326, 40.80231]}, 'place_id': '54719aecdeecbbe8'}
2021-07-13T06:31:43.000Z	1414834907709386752	I’m currently in the position to decide how I want to live. Not survive. Live. Do I want a new car? Save more? Travel more? Become more social? (no) Go art crazy in my apartment? Go fashion crazy? What more can I give myself? This is a great space.	{'place_id': '01a9a39529b27f36'}
