2021-09-14T18:33:35.000Z	1437847010581757953	B0 taking over PMMD I would never go to a hardware store on my visit to the state ...now I'm here wanting to get every tool ina the place 🙆🏾‍♂️🙆🏾‍♂️🙆🏾‍♂️... come talk some sense ina mi   	{'coordinates': {'type': 'Point', 'coordinates': [-74.05170656, 40.91202207]}, 'place_id': '4b6a1f748c5219fa'}
2021-09-14T18:30:20.000Z	1437846190863880193	 Not before I visit it — I haven’t updated my passport!	{'place_id': '01a9a39529b27f36'}
2021-09-14T18:25:07.000Z	1437844877799264267	To learn more about the exhibition visit: 	{'place_id': '00c39537733fa112'}
2021-09-14T18:11:48.000Z	1437841525203951618	It was late afternoon when I arrived at Shakespeare Garden on Sunday but there was still one ruby-throated hummingbird visiting the flowers fr time to time. It didn’t stay long each visit but glad it briefly rested on some buds.     	{'place_id': '12a6162d4954d000'}
2021-09-14T17:46:10.000Z	1437835076809674759	    Nope. But switch ohtani to the east and his pitching stats are worse. Vlads hitting stats travel. 	{'place_id': '5a700e3c73cbf9b9'}
2021-09-14T17:42:02.000Z	1437834037100486661	Join us for concerts on 0/0 and 0/0! Visit our website for more info ❤️ 	{'place_id': '0ae73f36fd07fca0'}
2021-09-14T17:05:07.000Z	1437824745328762888	 Travel to parts of Asia, Africa or the Middle East  & look around...We're doing OK.	{'place_id': '00504a961360c1a2'}
2021-09-14T16:45:36.000Z	1437819833597497352	Luca Vildoza will fly to New York this Thursday. The Knicks' medical team will check on his ankle injury, according to his camp. 	{'place_id': 'b046074b1030a44d'}
2021-09-14T15:25:43.000Z	1437799732047458307	ACCESS in the Bronx(Strong)! Deputy Chancellor Josh Wallack @ Bronx Regional HS for day two of Homecoming. P0G, Satellite, Bx Regional and LYFE show impact of their work on ACCESS Campus. THANK YOU DC WALLACK for amazing visit!    	{'place_id': '002e24c6736f069d'}
2021-09-14T15:19:54.000Z	1437798265827827712	Seamless travel, a buzz phrase travel industry has been dreaming about for a decade now, is almost here, and it starts (abs maybe even ends) with payments. Local transit and online shopping is where it starts… 	{'place_id': '00c39537733fa112'}
